,NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,SST1,SST1M
609,10610,male,82,,0,3.0,2,2,5,1,0,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,13,3.25
610,10611,male,82,1.0,0,6.0,3,2,3,2,1,2,3,4,2,4,4,3,4,4,4,3,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,5,5,4,4,4,3,4,5,5,4,3,3,11,2.75
611,10612,female,81,3.0,0,6.0,1,1,3,1,0,3,3,3,3,4,3,4,4,3,3,3,4,3,3,3,3,1,4,3,3,4,4,4,4,4,4,3,5,4,2,4,4,3,4,4,4,4,4,12,3.0
612,10613,male,82,1.0,0,8.0,2,2,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,3.75
613,10614,male,82,2.0,0,3.0,3,2,3,2,1,3,4,4,4,4,4,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,5,5,5,4,4,5,4,5,4,4,5,4,4,15,3.75
614,10615,male,81,3.0,0,7.0,3,3,4,2,0,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,4,3,3,3,3,4,3,3,3,4,4,4,5,4,4,4,4,4,4,3,3,3,3,16,4.0
615,10616,male,80,,0,3.0,2,2,4,2,0,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,12,3.0
616,10617,male,81,1.0,0,9.0,2,1,2,2,0,1,3,3,3,4,4,4,1,5,5,4,5,3,2,3,3,2,3,3,3,2,2,2,2,4,4,5,5,4,5,4,3,4,2,2,2,2,2,10,2.5
617,10618,male,82,,0,3.0,2,2,2,2,0,1,3,3,4,4,4,4,4,5,5,5,5,3,3,4,3,4,3,4,4,3,2,2,3,5,5,5,5,3,3,3,3,3,5,3,2,4,3,11,2.75
618,10619,male,82,1.0,0,4.0,2,3,3,4,1,1,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,13,3.25
619,10620,male,81,1.0,0,3.0,3,2,3,2,1,3,1,1,1,3,3,3,3,3,5,1,1,3,1,1,2,2,1,2,2,3,1,1,1,2,5,3,3,3,3,3,3,3,2,3,4,3,2,6,1.5
620,10621,female,82,1.0,1,6.0,1,3,5,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,15,3.75
621,10622,female,82,1.0,0,6.0,2,1,4,2,1,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,3,4,3,4,4,16,4.0
622,10623,male,82,1.0,0,6.0,2,1,2,3,1,2,3,4,4,5,4,5,5,5,4,5,5,2,5,5,4,3,5,4,4,2,2,2,5,5,5,3,5,5,5,4,4,4,5,4,2,1,4,13,3.25
623,10624,male,81,1.0,0,5.0,2,1,2,2,1,1,3,2,2,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,2,3,2,2,3,5,3,5,4,4,2,2,2,4,3,4,2,4,8,2.0
624,10625,male,81,1.0,0,6.0,2,2,3,3,1,5,5,5,5,4,4,4,4,4,4,1,4,3,4,3,4,4,4,4,4,1,3,1,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,20,5.0
625,10626,male,82,1.0,0,6.0,3,2,2,2,1,2,3,4,4,4,5,5,4,5,5,4,5,4,4,5,1,2,4,3,2,4,4,4,4,4,4,1,5,4,4,4,4,5,3,1,4,2,2,13,3.25
626,10627,male,82,1.0,0,5.0,2,1,3,2,1,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,4.75
627,10628,male,82,1.0,0,6.0,2,1,2,4,1,5,5,4,4,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,4,18,4.5
628,10629,female,81,1.0,0,8.0,3,2,4,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,14,3.5
629,10630,female,82,1.0,0,7.0,3,2,3,2,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,17,4.25
630,10631,male,82,1.0,0,8.0,3,2,3,2,1,1,2,4,3,5,4,4,4,5,3,3,5,4,5,5,2,4,5,1,1,4,3,3,3,3,4,4,4,4,4,3,3,4,3,1,3,2,3,10,2.5
631,10632,male,81,2.0,0,6.0,1,2,2,1,0,1,3,3,2,5,4,4,4,5,1,3,3,5,5,5,5,3,5,3,4,3,3,4,4,3,4,2,2,5,5,3,3,3,3,5,5,5,5,9,2.25
632,10633,male,82,1.0,1,9.0,1,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
633,10634,male,82,1.0,1,6.0,1,2,3,4,1,3,3,3,4,5,5,5,5,4,3,4,4,2,4,5,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,4,13,3.25
634,10635,male,81,2.0,0,7.0,2,2,5,3,0,5,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,5,5,5,4,5,3,4,4,5,5,5,5,5,4,4,5,4,3,3,3,3,17,4.25
635,10636,male,81,1.0,0,5.0,2,2,3,3,1,2,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,3,2,3,3,4,4,4,4,4,3,3,4,2,3,3,3,2,4,12,3.0
636,10637,male,81,1.0,1,8.0,1,2,4,2,1,4,5,5,5,5,4,5,5,5,4,3,5,4,5,5,1,4,5,3,5,3,5,4,3,4,5,3,5,4,4,4,4,3,3,3,3,3,3,19,4.75
637,10638,male,81,1.0,0,6.0,3,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,4,4,4,3,2,2,3,4,3,20,5.0
638,10639,male,82,2.0,1,7.0,2,2,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,14,3.5
639,10640,female,82,1.0,0,3.0,2,1,3,2,0,4,4,4,5,4,4,4,3,4,4,3,3,3,2,4,3,3,4,4,3,4,4,4,5,4,4,3,4,4,4,3,3,4,4,4,3,4,4,17,4.25
640,10641,male,81,1.0,1,6.0,1,2,3,3,0,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,2,3,3,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,3,4,15,3.75
641,10642,male,82,1.0,1,3.0,1,2,4,3,1,4,5,5,4,5,5,5,5,5,5,5,3,3,5,5,5,3,5,2,2,2,3,4,4,4,5,3,5,5,5,4,4,4,5,5,5,4,5,18,4.5
642,10643,female,81,1.0,1,8.0,2,2,3,2,1,5,4,5,4,5,4,4,4,5,4,4,5,3,3,5,5,4,4,4,4,3,3,3,4,4,4,3,5,4,4,3,4,3,3,4,3,3,3,18,4.5
643,10644,female,81,1.0,0,6.0,3,1,3,2,1,3,3,3,3,4,4,4,3,4,4,4,4,3,3,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,12,3.0
644,10645,male,81,1.0,0,5.0,3,2,2,2,1,1,4,4,3,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3.0
645,10646,female,82,1.0,0,9.0,2,1,3,2,0,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,3,4,3,3,3,4,4,5,5,5,3,3,3,3,3,4,3,2,16,4.0
646,10647,male,82,3.0,0,8.0,2,2,2,2,0,5,5,5,3,5,5,5,5,5,5,5,5,3,4,4,2,2,5,2,5,4,3,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,18,4.5
647,10648,male,81,2.0,0,5.0,3,1,2,2,1,2,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,2.75
648,10649,female,82,1.0,0,6.0,3,2,99,2,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,3.75
649,10650,male,82,1.0,0,6.0,2,1,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
650,10651,female,81,3.0,0,3.0,2,1,3,2,0,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,11,2.75
651,10652,male,82,1.0,0,6.0,3,2,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,16,4.0
652,10653,female,81,1.0,0,8.0,2,2,3,3,1,4,5,5,4,5,4,4,4,4,4,4,4,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,4.5
653,10654,male,82,2.0,0,8.0,2,2,5,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,16,4.0
654,10655,female,82,2.0,0,13.0,2,1,99,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,3,2,2,2,2,2,2,2,16,4.0
655,10656,male,82,1.0,0,8.0,2,2,3,4,1,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,3,3,15,3.75
