,NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,SST1,SST1M
780,20050,female,77,1.0,0,9.0,3,1,2,2,0,3,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,4,3,3,3,14,3.5
781,20051,male,77,1.0,1,7.0,1,2,4,4,0,3,3,3,3,4,4,4,4,5,5,5,5,1,2,2,1,2,3,2,2,4,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,12,3.0
782,20052,male,78,1.0,1,12.0,1,1,4,2,1,3,4,4,4,1,1,1,2,4,4,5,4,4,3,4,3,2,4,3,3,3,3,3,3,4,5,5,4,5,4,4,4,4,4,3,3,3,3,15,3.75
783,20053,male,78,1.0,0,12.0,1,1,4,2,1,4,4,4,4,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
784,20054,male,78,2.0,1,11.0,1,2,3,2,1,2,4,4,3,5,5,5,4,5,3,3,5,2,4,2,2,1,5,2,2,1,1,1,4,5,5,5,5,4,4,4,4,4,2,1,3,1,1,13,3.25
785,20055,male,74,1.0,1,10.0,1,1,3,2,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
786,20056,male,78,3.0,0,6.0,2,2,4,2,0,4,5,3,2,4,4,5,4,5,3,4,5,2,3,4,4,1,2,3,3,4,5,5,4,4,3,4,5,4,3,4,3,4,3,4,3,4,4,14,3.5
787,20057,male,77,1.0,1,11.0,1,2,4,3,1,3,4,5,3,5,4,4,5,3,4,4,3,4,2,4,3,2,4,2,1,4,4,4,5,4,4,4,5,5,4,5,4,4,4,3,4,5,4,15,3.75
788,20058,male,78,1.0,1,13.0,1,2,3,3,0,2,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,14,3.5
789,20059,female,77,1.0,0,11.0,2,2,4,3,1,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,4.5
790,20060,male,78,1.0,0,10.0,1,2,3,2,1,4,4,5,5,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,4,3,3,2,4,4,3,3,3,4,3,3,2,3,3,18,4.5
791,20061,female,77,1.0,0,12.0,1,2,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,4,4,4,4,2,2,2,3,4,4,5,5,4,4,4,4,3,4,4,4,4,16,4.0
792,20062,female,77,,0,8.0,2,2,3,2,1,2,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,2,2,2,1,2,2,2,2,3,4,3,4,2,2,2,2,2,2,2,2,2,2,14,3.5
793,20063,female,77,1.0,0,10.0,3,1,5,2,1,1,4,4,2,3,3,3,2,4,4,4,4,3,4,4,4,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,11,2.75
794,20064,female,78,1.0,0,10.0,2,2,4,3,1,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,1,1,1,1,4,3,3,2,4,4,3,3,5,4,4,4,4,2,4,4,2,4,20,5.0
795,20065,male,78,2.0,0,1.0,2,1,1,2,1,2,3,4,4,3,3,4,4,4,3,3,2,4,3,3,4,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,3,4,13,3.25
796,20066,female,77,3.0,0,3.0,3,2,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
797,20067,male,78,1.0,0,3.0,3,1,3,2,0,3,4,3,2,3,4,4,4,4,4,4,3,4,3,3,4,4,3,3,5,4,4,4,3,5,4,3,3,4,3,4,4,3,4,3,3,4,4,12,3.0
798,20068,male,77,1.0,0,3.0,2,1,2,3,1,1,3,2,1,5,4,4,5,5,5,5,5,1,1,5,1,1,1,1,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,7,1.75
799,20069,female,77,1.0,0,7.0,2,1,3,2,0,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,3,3,4,4,3,3,4,3,4,4,4,3,4,3,12,3.0
800,20070,male,77,1.0,0,10.0,2,2,3,2,1,3,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,16,4.0
801,20071,male,77,1.0,0,12.0,2,1,4,3,1,3,3,3,3,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,12,3.0
802,20072,male,77,2.0,1,10.0,1,2,4,2,1,3,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,18,4.5
803,20073,male,77,2.0,0,10.0,3,2,4,3,0,4,3,3,4,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
804,20074,male,77,2.0,0,12.0,3,2,6,4,1,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,4,1,2,1,2,5,5,5,5,5,4,5,5,4,5,4,4,5,4,4,4,5,5,20,5.0
805,20075,male,78,1.0,0,7.0,3,1,3,3,1,4,4,4,4,4,4,4,4,4,5,4,5,5,3,4,4,4,4,4,4,5,5,5,4,4,5,4,3,4,4,4,4,4,5,4,4,5,5,16,4.0
806,20076,male,78,1.0,0,7.0,2,3,3,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,16,4.0
807,20077,male,77,3.0,1,6.0,2,1,3,2,1,3,5,5,5,4,5,4,3,4,4,5,4,5,5,5,5,4,3,4,4,4,4,4,5,3,5,5,5,5,4,5,5,4,4,4,5,4,5,18,4.5
808,20078,male,77,2.0,0,7.0,3,2,4,2,1,4,5,5,5,5,5,5,5,5,5,3,4,3,4,4,4,2,4,2,1,3,3,3,2,2,5,4,5,4,4,2,3,3,1,3,2,1,1,19,4.75
809,20079,female,78,1.0,0,14.0,3,1,2,2,0,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,3,2,3,4,4,5,3,4,3,3,3,3,3,4,2,2,3,3,13,3.25
810,20080,female,78,,1,11.0,1,2,2,2,0,2,3,2,3,4,4,5,4,5,4,3,5,4,3,5,5,5,5,3,3,2,1,1,1,1,5,5,5,4,4,4,4,4,2,1,1,1,1,10,2.5
811,20081,male,78,1.0,1,14.0,1,1,3,3,1,4,4,4,4,4,3,4,4,3,3,4,4,4,3,3,2,3,4,3,3,4,4,2,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,16,4.0
812,20082,male,78,1.0,1,12.0,1,2,3,3,1,3,4,4,2,4,4,4,4,3,4,4,4,3,2,4,3,4,4,4,4,2,2,2,4,4,4,2,4,4,4,4,4,4,3,3,3,3,3,13,3.25
813,20083,female,78,1.0,0,13.0,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,8,2.0
814,20084,male,77,1.0,1,11.0,1,2,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,15,3.75
815,20085,female,78,1.0,1,10.0,1,1,3,3,1,3,5,5,5,5,5,5,5,5,4,4,3,3,3,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,3,3,3,4,3,4,18,4.5
816,20086,male,78,1.0,0,13.0,1,1,2,3,1,2,5,4,4,4,4,4,3,5,5,4,5,5,4,5,5,3,4,4,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4,15,3.75
817,20087,female,77,,0,13.0,2,3,3,3,0,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
818,20088,male,77,1.0,99,18.0,1,3,6,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1.0
819,20089,female,76,2.0,0,12.0,1,1,3,2,1,4,4,5,5,5,4,4,5,5,4,4,5,4,4,4,5,4,5,5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,4,4,4,4,4,18,4.5
820,20090,male,77,1.0,0,6.0,1,3,3,2,0,1,4,3,5,5,5,5,5,4,4,5,5,3,3,4,5,3,1,1,1,4,5,5,5,4,5,5,4,4,4,5,5,5,4,5,3,5,3,13,3.25
821,20091,female,78,1.0,1,13.0,2,1,2,2,1,2,3,4,4,4,4,4,4,4,4,4,4,3,3,5,5,3,3,2,2,4,4,4,4,4,4,2,5,4,5,4,4,4,4,4,4,4,4,13,3.25
822,20092,female,77,1.0,0,11.0,2,1,1,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,14,3.5
823,20093,male,78,1.0,1,10.0,1,1,3,2,1,1,4,4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,2.5
824,20094,male,78,1.0,1,13.0,1,1,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,20,5.0
825,20095,male,78,1.0,0,6.0,1,2,5,3,1,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,4,4,4,5,5,5,3,5,4,4,4,4,4,5,4,4,4,4,16,4.0
826,20096,male,78,1.0,0,5.0,3,2,3,3,1,1,5,5,5,5,5,5,2,5,5,5,5,1,1,3,1,1,5,1,1,5,5,5,5,5,5,3,5,5,5,5,2,3,3,5,5,5,5,16,4.0
827,20097,male,78,1.0,0,13.0,1,2,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,20,5.0
828,20098,male,78,1.0,0,8.0,2,1,2,3,1,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,2,3,4,5,5,4,4,12,3.0
829,20099,female,79,3.0,0,12.0,2,1,3,2,1,3,4,4,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,3,3,2,2,2,2,2,2,15,3.75
830,20100,male,78,2.0,1,9.0,1,1,2,2,1,2,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,4,4,5,5,3,4,4,3,3,3,3,3,4,3,3,13,3.25
831,20101,male,78,1.0,0,11.0,1,2,3,2,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,14,3.5
832,20102,male,77,2.0,0,11.0,2,2,4,2,1,2,5,5,4,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,4,4,3,4,4,3,5,4,4,4,5,4,4,4,4,4,5,16,4.0
833,20103,male,78,2.0,1,10.0,1,3,3,4,1,1,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,4.0
834,20104,male,77,2.0,0,13.0,2,1,3,3,1,3,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,3.75
835,20105,male,77,1.0,0,10.0,1,1,3,2,0,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,12,3.0
836,20106,male,77,1.0,0,9.0,2,2,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,16,4.0
837,20107,male,77,1.0,0,10.0,2,1,1,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,14,3.5
838,20108,male,78,1.0,0,12.0,1,2,4,4,0,4,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,4.5
839,20109,male,77,3.0,0,12.0,3,1,3,2,0,3,4,4,4,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,5,4,5,4,5,5,5,5,4,5,5,5,5,4,3,4,4,4,15,3.75
840,20110,female,77,1.0,1,9.0,1,1,2,3,1,2,2,3,1,5,5,5,5,5,5,1,4,1,4,4,1,1,4,1,1,5,5,5,5,4,5,5,5,5,5,5,1,1,5,2,5,3,2,8,2.0
841,20111,female,78,2.0,0,13.0,1,2,3,2,1,2,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,2,2,2,3,2,2,2,2,4,4,3,4,4,4,4,3,2,2,2,2,2,2,13,3.25
842,20112,male,78,1.0,1,6.0,1,2,4,3,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,3,4,4,4,5,5,4,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,15,3.75
843,20113,male,78,2.0,0,11.0,2,1,3,2,0,2,3,5,2,5,5,5,5,5,3,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,3,3,3,3,4,4,4,12,3.0
844,20114,female,78,1.0,0,10.0,3,1,5,3,1,2,3,3,1,4,4,4,4,4,4,4,4,3,3,2,3,3,2,3,3,2,2,3,3,3,4,4,4,4,4,4,4,4,3,2,2,2,2,9,2.25
845,20115,female,78,1.0,1,9.0,1,2,2,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,16,4.0
846,20116,female,77,1.0,0,10.0,2,2,4,4,1,3,4,4,3,4,3,4,4,4,3,3,4,3,2,4,4,2,4,2,3,4,3,3,2,4,4,4,4,4,4,3,3,3,2,3,3,2,3,14,3.5
847,20117,male,78,3.0,1,10.0,1,1,4,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,3.75
848,20118,female,77,1.0,0,10.0,1,2,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
849,20119,female,78,1.0,1,12.0,1,2,3,2,1,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,17,4.25
850,20120,male,78,1.0,1,10.0,1,2,3,2,1,5,5,4,4,5,5,4,5,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,4,4,5,5,4,4,5,4,4,4,5,18,4.5
851,20121,female,78,1.0,0,7.0,2,1,3,2,0,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,4,3,3,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,16,4.0
852,20122,female,77,1.0,1,9.0,1,2,3,3,1,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,2,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,19,4.75
853,20123,male,66,1.0,1,20.0,1,1,1,2,1,3,4,4,3,4,5,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,2,3,3,3,3,3,4,4,3,3,4,4,3,4,3,4,14,3.5
854,20124,male,78,1.0,0,7.0,3,3,4,3,1,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,2,2,2,2,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,16,4.0
855,20125,male,77,2.0,1,10.0,1,3,5,3,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,16,4.0
856,20126,female,76,1.0,0,11.0,2,1,4,2,1,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,4,3,3,2,2,2,3,15,3.75
857,20127,male,77,1.0,0,9.0,1,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
858,20128,male,78,1.0,0,8.0,2,2,5,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,2,3,3,4,4,4,4,4,3,2,4,4,4,4,3,4,16,4.0
859,20129,female,78,3.0,0,12.0,2,1,3,2,1,3,4,5,4,5,5,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,16,4.0
860,20130,male,78,3.0,1,10.0,1,3,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,16,4.0
861,20131,male,78,1.0,0,13.0,3,2,2,3,1,3,5,4,3,4,4,4,3,5,4,4,4,5,4,5,3,3,1,1,1,4,4,3,4,5,4,4,5,4,4,4,5,4,4,3,4,4,4,15,3.75
862,20132,female,77,1.0,0,11.0,1,2,2,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
863,20133,male,77,1.0,1,10.0,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,4,3,3,12,3.0
864,20134,male,78,1.0,0,9.0,2,1,1,2,1,3,3,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,2.75
865,20135,male,78,1.0,1,11.0,1,2,4,3,1,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4,4,4,3,3,4,4,3,4,3,4,3,3,16,4.0
866,20136,male,77,1.0,0,0.0,3,99,5,2,0,4,3,5,4,4,3,4,4,3,4,3,3,4,3,5,3,5,3,4,5,5,4,3,5,3,5,4,5,5,3,4,3,4,3,4,4,2,3,16,4.0
867,20137,male,75,,1,8.0,1,2,4,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
868,20138,female,78,1.0,0,0.0,2,1,2,3,0,5,5,5,5,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,2,3,4,3,3,4,3,3,20,5.0
869,20139,male,78,1.0,0,4.0,3,2,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,1,3,4,4,3,3,3,3,4,4,2,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,12,3.0
870,20140,male,76,2.0,0,6.0,1,2,4,3,0,2,3,3,3,4,5,4,4,3,3,3,4,3,3,5,4,3,4,3,3,3,4,3,4,5,4,4,4,4,3,4,4,4,4,4,4,3,4,11,2.75
871,20141,female,77,1.0,0,10.0,3,1,5,2,0,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,4,4,3,4,16,4.0
872,20142,female,78,3.0,0,13.5,2,1,3,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,4.0
873,20143,male,78,1.0,0,8.0,1,2,3,2,1,2,3,2,2,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,9,2.25
874,20144,male,77,1.0,0,4.0,3,2,5,4,1,2,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,2,2,4,4,3,2,4,4,4,4,4,4,4,2,3,3,4,4,3,4,11,2.75
875,20145,male,77,2.0,0,10.0,2,1,4,3,1,2,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,3,1,1,1,1,5,5,5,5,5,4,4,4,1,1,1,1,1,3,16,4.0
876,20146,male,77,1.0,0,10.0,2,2,3,2,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
877,20147,male,78,1.0,0,4.0,3,3,5,3,1,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
878,20148,male,77,2.0,0,0.0,3,2,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
879,20149,male,78,1.0,0,10.0,3,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
880,20150,male,78,1.0,0,4.0,3,3,5,4,1,5,4,4,3,4,4,3,3,3,4,5,4,4,4,3,2,2,3,4,4,4,3,4,4,3,4,5,4,4,4,4,3,4,5,4,3,3,5,16,4.0
881,20151,female,78,1.0,0,7.0,3,2,5,2,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,16,4.0
882,20152,male,77,1.0,0,4.0,2,2,4,2,1,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,18,4.5
883,20153,female,78,1.0,0,3.0,3,3,4,2,1,5,5,5,5,3,3,3,3,5,5,5,5,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,20,5.0
884,20154,female,77,1.0,0,10.0,2,2,99,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
885,20155,female,76,1.0,0,9.0,2,1,4,2,1,1,3,3,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,8,2.0
886,20156,female,78,,0,4.0,3,99,5,99,1,5,5,5,5,4,4,4,5,4,5,5,5,3,5,4,3,2,4,3,3,3,4,4,3,4,4,3,4,4,3,3,4,4,3,3,3,3,4,20,5.0
887,20157,male,77,2.0,0,3.0,1,2,3,4,1,1,4,4,3,5,5,5,5,4,4,4,4,3,3,4,4,2,2,4,4,2,2,2,2,4,4,1,5,5,5,3,3,3,2,1,2,5,2,12,3.0
888,20158,female,78,1.0,0,0.0,3,1,3,2,1,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,5,16,4.0
889,20159,female,77,,0,0.0,3,1,3,3,1,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,4,3,4,3,4,3,4,14,3.5
890,20160,male,77,1.0,0,6.0,2,2,2,2,0,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,2,3,4,4,3,4,4,3,4,3,3,3,3,4,3,3,15,3.75
891,20161,male,78,1.0,0,10.0,3,1,5,2,1,2,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,3,4,3,4,14,3.5
892,20162,male,78,1.0,0,8.0,3,1,5,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
893,20163,male,77,1.0,0,4.0,2,3,3,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,3,4,4,4,16,4.0
894,20164,female,77,1.0,0,10.0,2,1,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
895,20165,female,77,1.0,0,7.0,1,1,1,4,1,1,4,4,1,3,4,3,2,5,5,5,5,3,3,5,5,3,4,2,2,5,5,5,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,10,2.5
896,20166,female,78,1.0,0,12.0,2,1,2,2,1,4,4,4,2,4,4,4,4,5,5,5,5,2,3,2,4,1,3,3,3,4,4,4,4,4,3,3,3,2,2,3,2,3,4,4,4,2,4,14,3.5
897,20167,male,78,1.0,0,20.0,3,2,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,16,4.0
898,20168,male,77,1.0,0,5.0,3,1,3,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
899,20169,male,77,1.0,1,15.0,2,1,2,2,1,4,4,3,4,4,3,4,4,5,5,4,3,3,4,4,4,3,4,5,5,4,4,4,5,4,5,4,5,4,3,4,3,4,3,4,4,4,4,15,3.75
900,20170,female,76,1.0,0,9.0,2,2,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,16,4.0
901,20171,female,79,,0,5.0,1,1,4,2,1,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
902,20172,male,78,1.0,0,6.0,2,2,3,2,1,4,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,5,5,5,5,4,4,3,3,4,4,4,4,4,3,14,3.5
903,20173,male,77,1.0,0,10.0,2,2,2,2,0,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3.0
